County,Size
"Kiowa County, Colorado","1,767.77"
"Kit Carson County, Colorado","2,160.82"
"La Plata County, Colorado","1,692.08"
"Lake County, Colorado",376.91
"Larimer County, Colorado","2,596.00"
"Las Animas County, Colorado","4,772.67"
"Lincoln County, Colorado","2,577.63"
"Logan County, Colorado","1,838.55"
"Mesa County, Colorado","3,328.97"
"Mineral County, Colorado",875.67
"Moffat County, Colorado","4,743.29"
"Montezuma County, Colorado","2,029.53"
"Montrose County, Colorado","2,240.70"
"Morgan County, Colorado","1,280.43"
"Otero County, Colorado","1,261.96"
"Ouray County, Colorado",541.59
"Park County, Colorado","2,193.85"
"Phillips County, Colorado",687.93
"Pitkin County, Colorado",970.70
"Prowers County, Colorado","1,638.40"
"Pueblo County, Colorado","2,386.10"
"Rio Blanco County, Colorado","3,220.93"
"Rio Grande County, Colorado",911.96
"Routt County, Colorado","2,362.03"
"Saguache County, Colorado","3,168.53"
"San Juan County, Colorado",387.49
"San Miguel County, Colorado","1,286.61"
"Sedgwick County, Colorado",548.04
"Summit County, Colorado",608.36
"Teller County, Colorado",557.06
"Washington County, Colorado","2,518.03"
"Weld County, Colorado","3,987.24"
"Yuma County, Colorado","2,364.41"
"Fairfield County, Connecticut",624.89
"Hartford County, Connecticut",735.1
"Litchfield County, Connecticut",920.56
"Middlesex County, Connecticut",369.3
"New Haven County, Connecticut",604.51
"New London County, Connecticut",664.88
"Tolland County, Connecticut",410.21
"Windham County, Connecticut",512.91
"Kent County, Delaware",586.18
"New Castle County, Delaware",426.29
"Sussex County, Delaware",936.08
"Washington city County, District of Columbia",61.05
"Alachua County, Florida",875.02
"Baker County, Florida",585.23
"Bay County, Florida",758.46
"Bradford County, Florida",293.96
"Brevard County, Florida","1,015.66"
"Broward County, Florida","1,209.79"
"Calhoun County, Florida",567.33
"Charlotte County, Florida",680.28
"Citrus County, Florida",581.70
"Clay County, Florida",604.36
"Collier County, Florida","1,998.32"
"Columbia County, Florida",797.57
"DeSoto County, Florida",637.06
"Dixie County, Florida",705.05
"Duval County, Florida",762.19
"Escambia County, Florida",656.46
"Flagler County, Florida",485.46
"Franklin County, Florida",534.73
"Gadsden County, Florida",516.33
"Gilchrist County, Florida",349.68
"Glades County, Florida",806.01
"Gulf County, Florida",564.01
"Hamilton County, Florida",513.79
"Hardee County, Florida",637.78
"Hendry County, Florida","1,152.75"
"Hernando County, Florida",472.54
"Highlands County, Florida","1,016.62"
"Hillsborough County, Florida","1,020.21"
"Holmes County, Florida",478.78
"Indian River County, Florida",502.87
